R	53.2557	-6.11317	E236	14 Feb 2024	E236\n14:43 - Howth to Bray (0 mins late)\nDeparted Killiney next stop Shankill	Southbound
R	53.2751	-8.94792	A706	14 Feb 2024	A706\n13:30 - Dublin Heuston to Galway (14 mins late)\nDeparted Oranmore next stop Galway	To Galway
R	53.2812	-6.12289	E237	14 Feb 2024	E237\n14:50 - Malahide to Bray (1 mins late)\nArrived Glenageary next stop Dalkey	Southbound
R	53.2878	-6.12712	E931	14 Feb 2024	E931\n15:35 - Bray to Howth (0 mins late)\nArrived Sandycove next stop Dun Laoghaire	Northbound
R	53.2951	-6.13498	E829	14 Feb 2024	E829\n15:25 - Bray to Malahide (6 mins late)\nDeparted Dun Laoghaire next stop Salthill and Monkstown	Northbound
R	53.2954	-6.15206	E119	14 Feb 2024	E119\n15:00 - Howth to Greystones (0 mins late)\nDeparted Salthill and Monkstown next stop Dun Laoghaire	Southbound
R	53.3206	-6.21112	E238	14 Feb 2024	E238\n15:10 - Malahide to Bray (0 mins late)\nArrived Sydney Parade next stop Booterstown	Southbound
R	53.3206	-6.21112	E930	14 Feb 2024	E930\n15:04 - Greystones to Howth (4 mins late)\nDeparted Sydney Parade next stop Sandymount	Northbound
R	53.3212	-8.60608	A718	14 Feb 2024	A718\n19:35 - Dublin Heuston to Galway (32 mins late)\nDeparted Attymon next stop Athenry	To Galway
R	53.3223	-6.52356	A708	14 Feb 2024	A708\n15:35 - Dublin Heuston to Galway (2 mins late)\nDeparted Hazelhatch next stop Portarlington	To Galway
R	53.3223	-6.52356	D216	14 Feb 2024	D216\n15:25 - Dublin Heuston to Portlaoise (2 mins late)\nDeparted Hazelhatch next stop Sallins	To Portlaoise
R	53.3334	-6.40628	A223	14 Feb 2024	A223\n16:25 - Cork to Dublin Heuston (5 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A225	14 Feb 2024	A225\n17:25 - Cork to Dublin Heuston (14 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A227	14 Feb 2024	A227\n18:25 - Cork to Dublin Heuston (4 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A229	14 Feb 2024	A229\n19:25 - Cork to Dublin Heuston (14 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A231	14 Feb 2024	A231\n20:25 - Cork to Dublin Heuston (5 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
